text_raw,real_y,vader_pred,tb_pred,tr_pred,tr_top_emotion
London Heathrow to Stuttgart. Absolutely disgusted with BA. my husband was asked to put his one piece of hand luggage in the hold due to the flight being busy and he agreed. BA had one job to do - put it in the hold and make sure it arrives in Stuttgart. This has proven too difficult. The bag is lost and they have not offered any assistance or support.,,positive,negative,negative,anger
"London to New York JFK with British Airways, and abyssal customer service. Onboard the flight can be great, and it's the website and shoddy call centre staff who let them down. However, this time the onboard service was as bad as the ground service. Food was poor. I was in the upper deck with only 5 other business class passengers, and yet my food choice was gone. The TV's didn't work in 2 seats - I couldn't be bothered to try a third and decided to just get some sleep. The staff insisted on forming a cliquish huddle and were speaking so loudly I couldn't even sleep with ear plugs in.",,negative,negative,negative,anger
London to Manchester. British Airways is probably the worst air company I have ever flown with they took 2 hours to unload the luggage and the flight was delayed by an hour. The staff were no help and frankly rude.,,negative,negative,negative,anger
Domestic Edinburgh-Gatwick. Late by 40 mins but that's not unusual. Flight itself lovely clean quiet made up some time. Crew smart and friendly. Only down side was coming off a bridge to a closed gate to then being herded onto a packed bus. Bags came fairly quickly sometimes at LGW it can be a while!,,positive,positive,positive,joy
"London Heathrow to Sofia. We checked in online, so we went straight to baggage drop. It was quick and worked well, our bag was 25 kg, maximum is 23 kg, so we had to take 2 kg out. After that, we went to buy a neck cushion and we went to put our make up in bags, show our passport and then go through to security. My daughter was beeped, but it wasn't a big deal. It was fast, and our flight was departing in 1h 30m. We got some drinks, and then we noticed our gate was announced early. We headed to the gate and boarding began about 20m later. Boarding was fast, and we were sitting in seats 33 DEF. The seats were comfortable, leather and had headrests. A321 so there was no IFE. We had a 1 hour delay from the bad airspace, but eventually took off. Our route was a little different, instead of going over France, Switzerland, etc, we went over Germany, Hungary, etc. The food was good and wasn't too expensive. We didn't buy anything really, just food. While coming into Bulgaria, the views were nice. The landing was pretty good, despite the bump. Eventually we got off 1 hour late, and we went home. The verdict is that British Airways are pretty good, despite the delay.",,positive,positive,positive,joy
"I sat in seat 25C. Our Cabin Crew lady was called Gina and she went above and beyond to keep the customers happy. She greeted us as we boarded with a very cheery smile, she engaged with two families travelling with young children and gave out games and books. Her trolley service was excellent and she took great care in what she was doing. She had time for a quick chat and I think she said she was half German and half Bulgarian, a really lovely young lady who is a credit to British Airways.",,positive,positive,positive,joy
"I had an Incredible rude check in staff at the British Airways counter in Nice on 16th April 2022. Zero empathy towards me a struggling customer. Second situation happened when we arrived into Nice Terminal 1 on BA0262 13 April where my luggage did not make it on the same flight as me and had to put my details down for delivery. When our luggage arrived at Nice airport the day after and received an email from the AVIA Partner lost and found (British Airways Partner) at 13:14PM informing us that our luggage has now arrived in Nice. After multiple emails back and forth with emphasis on we were strongly expressing that I did not have clothes or shoes to wear and that we only had 3 short days in Monaco, it was vital we received the luggage ASAP, the lady replied “If it is so important why don’t you come and pick it up here at the airport or send your driver to pick it up” despite the fact that a proper delivery address was supplied to them from the very beginning. This has been an appalling experience.",,positive,positive,negative,sadness
"For a long time I have avoided taking British Airways due to it’s poor past reputation. Yesterday I traveled on BA 34 from Kuala Lumpur to London Heathrow, I boarded the flight with an open mind, over 12 hours later I disembarked feeling very happy because it is always good to see an airline make visible improvements that deliver value to it’s customers. A praise is due and I want to congratulate BA for such a pleasant experience, the flight departed on time and arrived half an hour early, the crew was not only professional but they did everything with a smile that made passengers feel welcomed, the plane was pristine new with delightful entertainment content, the food was way above the expectations of a seasoned economy class traveler. What more can I say? Enough to say that I will be traveling with BA again!",,positive,positive,positive,joy
"FRA-LHR on A319, We sat on the plane at the gate for almost 40 minutes due to one runway closed, no drinks offered. No veg meal for my wife, Empty bottle under the middle seat tray. Landed allegedly almost on time due to the excessive time scheduled for the leg.",,negative,negative,negative,anger
British Airways are not interested in providing normal business class comforts and cuisine or even lounges on some routes. The Cancun route and the Nassau routes I have flown recently show this clearly as they are presumably are not bothered with little or no competition at all. This saddens me that they have made a clear decision that on holiday type routes they will provide the absolute minimum on everything. One example that shows how pathetic it has become with cutbacks out of many problems I encountered on these routes is that the food was so awful on the Cancun flight recently that we merely asked for cheese and biscuits in business class to be told that we could only have one packet of two biscuits each as BA only allocated one packet per person. The staff all agree that this was pathetic! No lounges at both these airports either and queuing of business class and economy all together no attempt to really show you paid extra for your ticket.,,negative,negative,negative,sadness
"Second time getting poor service from BA. 1st, unable to contact via phone, email or website. 2nd even with four business class tickets across the Atlantic, they do not allow free seat selection or check in until 24 hours prior to the flight. Do they understand what the last 24 hours of an international trip are like? By the time we confirmed our seats my wife and our kids were spread throughout the plane. Of course no-one at the airport could do anything. ",,negative,neutral,positive,joy
Flew YVR to MUC via LHR. I had high expectations for this airline but was pretty disappointed. We were flying with twin 15 month olds so it's great with BA that you can preselect the bassinet spots when booking. Crew did bare minimum seemed as though asking for anything was a huge inconvenience. Audio on IFE was awful couldn't hear any movies. Flight landed 10 minutes late in London and we were denied boarding on the MUC flight due to being late. If they allow a connection of 1h10 and you're 10 minutes late and can't get on their system is flawed. When are any LHR flights not 10 mins late! They rebooked us 2.5 hours later but after complaining put us on a Lufthansa flight 1 hour later. I never thought I would say this but will use Air Canada on this route from now on if the price is equal.,,negative,negative,negative,sadness
