text_raw,vader_pred,tb_pred,tr_pred,tr_top_emotion,real_y,vader_neg,vader_neu,vader_pos,vader_compound,tb_polarity,tb_subjectivity,sadness,joy,love,anger,fear,surprise
London Heathrow to Stuttgart. Absolutely disgusted with BA. my husband was asked to put his one piece of hand luggage in the hold due to the flight being busy and he agreed. BA had one job to do - put it in the hold and make sure it arrives in Stuttgart. This has proven too difficult. The bag is lost and they have not offered any assistance or support.,positive,negative,negative,anger,negative,0.105,0.767,0.127,0.204,-0.205,0.7127777777777778,0.000555761,0.000278937,0.000184109,0.9981544613838196,0.000676725,0.000150026
"London to New York JFK with British Airways, and abyssal customer service. Onboard the flight can be great, and it's the website and shoddy call centre staff who let them down. However, this time the onboard service was as bad as the ground service. Food was poor. I was in the upper deck with only 5 other business class passengers, and yet my food choice was gone. The TV's didn't work in 2 seats - I couldn't be bothered to try a third and decided to just get some sleep. The staff insisted on forming a cliquish huddle and were speaking so loudly I couldn't even sleep with ear plugs in.",negative,negative,negative,anger,negative,0.055,0.894,0.051,-0.1376,-0.05368266,0.4529250841750842,0.11133136600255966,0.002839316,0.000590385,0.8831765651702881,0.001539111,0.000523249
London to Manchester. British Airways is probably the worst air company I have ever flown with they took 2 hours to unload the luggage and the flight was delayed by an hour. The staff were no help and frankly rude.,negative,negative,negative,anger,negative,0.238,0.762,0,-0.8822,-0.433333333,0.5333333333333333,0.000638147,0.000260824,0.000179143,0.9979265928268433,0.000828651,0.000166601
Domestic Edinburgh-Gatwick. Late by 40 mins but that's not unusual. Flight itself lovely clean quiet made up some time. Crew smart and friendly. Only down side was coming off a bridge to a closed gate to then being herded onto a packed bus. Bags came fairly quickly sometimes at LGW it can be a while!,positive,positive,positive,joy,positive,0,0.751,0.249,0.9577,0.10142195767195768,0.5429232804232804,0.000301675,0.9927571415901184,0.006190331,0.000371815,0.000166217,0.00021284
"London Heathrow to Sofia. We checked in online, so we went straight to baggage drop. It was quick and worked well, our bag was 25 kg, maximum is 23 kg, so we had to take 2 kg out. After that, we went to buy a neck cushion and we went to put our make up in bags, show our passport and then go through to security. My daughter was beeped, but it wasn't a big deal. It was fast, and our flight was departing in 1h 30m. We got some drinks, and then we noticed our gate was announced early. We headed to the gate and boarding began about 20m later. Boarding was fast, and we were sitting in seats 33 DEF. The seats were comfortable, leather and had headrests. A321 so there was no IFE. We had a 1 hour delay from the bad airspace, but eventually took off. Our route was a little different, instead of going over France, Switzerland, etc, we went over Germany, Hungary, etc. The food was good and wasn't too expensive. We didn't buy anything really, just food. While coming into Bulgaria, the views were nice. The landing was pretty good, despite the bump. Eventually we got off 1 hour late, and we went home. The verdict is that British Airways are pretty good, despite the delay.",positive,positive,positive,joy,positive,0.048,0.806,0.146,0.9751,0.14980158730158732,0.5412698412698412,0.00134134,0.9931457042694092,0.000648068,0.003246675,0.001019826,0.0005984
"I sat in seat 25C. Our Cabin Crew lady was called Gina and she went above and beyond to keep the customers happy. She greeted us as we boarded with a very cheery smile, she engaged with two families travelling with young children and gave out games and books. Her trolley service was excellent and she took great care in what she was doing. She had time for a quick chat and I think she said she was half German and half Bulgarian, a really lovely young lady who is a credit to British Airways.",positive,positive,positive,joy,positive,0,0.721,0.279,0.986,0.3221428571428571,0.45238095238095244,0.000932658,0.9026466012001038,0.094711058,0.000644903,0.000284728,0.000780088
"I had an Incredible rude check in staff at the British Airways counter in Nice on 16th April 2022. Zero empathy towards me a struggling customer. Second situation happened when we arrived into Nice Terminal 1 on BA0262 13 April where my luggage did not make it on the same flight as me and had to put my details down for delivery. When our luggage arrived at Nice airport the day after and received an email from the AVIA Partner lost and found (British Airways Partner) at 13:14PM informing us that our luggage has now arrived in Nice. After multiple emails back and forth with emphasis on we were strongly expressing that I did not have clothes or shoes to wear and that we only had 3 short days in Monaco, it was vital we received the luggage ASAP, the lady replied “If it is so important why don’t you come and pick it up here at the airport or send your driver to pick it up” despite the fact that a proper delivery address was supplied to them from the very beginning. This has been an appalling experience.",positive,positive,negative,sadness,negative,0.053,0.861,0.086,0.7161,0.1727513227513228,0.507010582,0.8378788828849792,0.07273639,0.001425336,0.058241535,0.027790788561105728,0.001926991
"For a long time I have avoided taking British Airways due to it’s poor past reputation. Yesterday I traveled on BA 34 from Kuala Lumpur to London Heathrow, I boarded the flight with an open mind, over 12 hours later I disembarked feeling very happy because it is always good to see an airline make visible improvements that deliver value to it’s customers. A praise is due and I want to congratulate BA for such a pleasant experience, the flight departed on time and arrived half an hour early, the crew was not only professional but they did everything with a smile that made passengers feel welcomed, the plane was pristine new with delightful entertainment content, the food was way above the expectations of a seasoned economy class traveler. What more can I say? Enough to say that I will be traveling with BA again!",positive,positive,positive,joy,positive,0.023,0.783,0.194,0.9765,0.16100131752305666,0.436429513,0.000175153,0.9990842342376709,0.000351731,0.000100286,0.000105017,0.000183522
"FRA-LHR on A319, We sat on the plane at the gate for almost 40 minutes due to one runway closed, no drinks offered. No veg meal for my wife, Empty bottle under the middle seat tray. Landed allegedly almost on time due to the excessive time scheduled for the leg.",negative,negative,negative,anger,negative,0.117,0.883,0,-0.6369,-0.114285714,0.35000000000000003,0.052773281931877136,0.003375093,0.000605878,0.8029605150222778,0.1393641084432602,0.000921169
British Airways are not interested in providing normal business class comforts and cuisine or even lounges on some routes. The Cancun route and the Nassau routes I have flown recently show this clearly as they are presumably are not bothered with little or no competition at all. This saddens me that they have made a clear decision that on holiday type routes they will provide the absolute minimum on everything. One example that shows how pathetic it has become with cutbacks out of many problems I encountered on these routes is that the food was so awful on the Cancun flight recently that we merely asked for cheese and biscuits in business class to be told that we could only have one packet of two biscuits each as BA only allocated one packet per person. The staff all agree that this was pathetic! No lounges at both these airports either and queuing of business class and economy all together no attempt to really show you paid extra for your ticket.,negative,negative,negative,sadness,negative,0.133,0.786,0.081,-0.8814,-0.142361111,0.562037037,0.996661901,0.00031873,0.000207011,0.002462965,0.00016254,0.000186959
