text_raw,vader_neg,vader_neu,vader_pos,vader_compound,vader_pred,tb_polarity,tb_subjectivity,tb_pred,sadness,joy,love,anger,fear,surprise,tr_top_emotion,tr_pred
London Heathrow to Stuttgart. Absolutely disgusted with BA. my husband was asked to put his one piece of hand luggage in the hold due to the flight being busy and he agreed. BA had one job to do - put it in the hold and make sure it arrives in Stuttgart. This has proven too difficult. The bag is lost and they have not offered any assistance or support.,0.105,0.767,0.127,0.204,positive,-0.205,0.7127777777777778,negative,0.0005557611002586782,0.0002789367572404444,0.0001841088815126568,0.9981544613838196,0.0006767251179553568,0.00015002602594904602,anger,negative
"London to New York JFK with British Airways, and abyssal customer service. Onboard the flight can be great, and it's the website and shoddy call centre staff who let them down. However, this time the onboard service was as bad as the ground service. Food was poor. I was in the upper deck with only 5 other business class passengers, and yet my food choice was gone. The TV's didn't work in 2 seats - I couldn't be bothered to try a third and decided to just get some sleep. The staff insisted on forming a cliquish huddle and were speaking so loudly I couldn't even sleep with ear plugs in.",0.055,0.894,0.051,-0.1376,negative,-0.053682659932659915,0.4529250841750842,negative,0.11133136600255966,0.0028393156826496124,0.0005903848214074969,0.8831765651702881,0.001539111020974815,0.00052324851276353,anger,negative
London to Manchester. British Airways is probably the worst air company I have ever flown with they took 2 hours to unload the luggage and the flight was delayed by an hour. The staff were no help and frankly rude.,0.238,0.762,0.0,-0.8822,negative,-0.43333333333333335,0.5333333333333333,negative,0.0006381474668160081,0.0002608240465633571,0.000179143127752468,0.9979265928268433,0.0008286513038910925,0.00016660087567288429,anger,negative
Domestic Edinburgh-Gatwick. Late by 40 mins but that's not unusual. Flight itself lovely clean quiet made up some time. Crew smart and friendly. Only down side was coming off a bridge to a closed gate to then being herded onto a packed bus. Bags came fairly quickly sometimes at LGW it can be a while!,0.0,0.751,0.249,0.9577,positive,0.10142195767195768,0.5429232804232804,positive,0.00030167464865371585,0.9927571415901184,0.006190331187099218,0.00037181517109274864,0.00016621730173937976,0.0002128404303221032,joy,positive
"London Heathrow to Sofia. We checked in online, so we went straight to baggage drop. It was quick and worked well, our bag was 25 kg, maximum is 23 kg, so we had to take 2 kg out. After that, we went to buy a neck cushion and we went to put our make up in bags, show our passport and then go through to security. My daughter was beeped, but it wasn't a big deal. It was fast, and our flight was departing in 1h 30m. We got some drinks, and then we noticed our gate was announced early. We headed to the gate and boarding began about 20m later. Boarding was fast, and we were sitting in seats 33 DEF. The seats were comfortable, leather and had headrests. A321 so there was no IFE. We had a 1 hour delay from the bad airspace, but eventually took off. Our route was a little different, instead of going over France, Switzerland, etc, we went over Germany, Hungary, etc. The food was good and wasn't too expensive. We didn't buy anything really, just food. While coming into Bulgaria, the views were nice. The landing was pretty good, despite the bump. Eventually we got off 1 hour late, and we went home. The verdict is that British Airways are pretty good, despite the delay.",0.048,0.806,0.146,0.9751,positive,0.14980158730158732,0.5412698412698412,positive,0.001341340015642345,0.9931457042694092,0.0006480684969574213,0.003246674779802561,0.0010198261588811874,0.0005984004819765687,joy,positive
"I sat in seat 25C. Our Cabin Crew lady was called Gina and she went above and beyond to keep the customers happy. She greeted us as we boarded with a very cheery smile, she engaged with two families travelling with young children and gave out games and books. Her trolley service was excellent and she took great care in what she was doing. She had time for a quick chat and I think she said she was half German and half Bulgarian, a really lovely young lady who is a credit to British Airways.",0.0,0.721,0.279,0.986,positive,0.3221428571428571,0.45238095238095244,positive,0.000932658149395138,0.9026466012001038,0.0947110578417778,0.0006449032225646079,0.00028472772100940347,0.0007800881867296994,joy,positive
"I had an Incredible rude check in staff at the British Airways counter in Nice on 16th April 2022. Zero empathy towards me a struggling customer. Second situation happened when we arrived into Nice Terminal 1 on BA0262 13 April where my luggage did not make it on the same flight as me and had to put my details down for delivery. When our luggage arrived at Nice airport the day after and received an email from the AVIA Partner lost and found (British Airways Partner) at 13:14PM informing us that our luggage has now arrived in Nice. After multiple emails back and forth with emphasis on we were strongly expressing that I did not have clothes or shoes to wear and that we only had 3 short days in Monaco, it was vital we received the luggage ASAP, the lady replied “If it is so important why don’t you come and pick it up here at the airport or send your driver to pick it up” despite the fact that a proper delivery address was supplied to them from the very beginning. This has been an appalling experience.",0.053,0.861,0.086,0.7161,positive,0.1727513227513228,0.507010582010582,positive,0.8378788828849792,0.07273638993501663,0.0014253362314775586,0.05824153497815132,0.027790788561105728,0.0019269908079877496,sadness,negative
"For a long time I have avoided taking British Airways due to it’s poor past reputation. Yesterday I traveled on BA 34 from Kuala Lumpur to London Heathrow, I boarded the flight with an open mind, over 12 hours later I disembarked feeling very happy because it is always good to see an airline make visible improvements that deliver value to it’s customers. A praise is due and I want to congratulate BA for such a pleasant experience, the flight departed on time and arrived half an hour early, the crew was not only professional but they did everything with a smile that made passengers feel welcomed, the plane was pristine new with delightful entertainment content, the food was way above the expectations of a seasoned economy class traveler. What more can I say? Enough to say that I will be traveling with BA again!",0.023,0.783,0.194,0.9765,positive,0.16100131752305666,0.436429512516469,positive,0.00017515284707769752,0.9990842342376709,0.0003517309087328613,0.00010028605174738914,0.00010501722135813907,0.0001835218572523445,joy,positive
"FRA-LHR on A319, We sat on the plane at the gate for almost 40 minutes due to one runway closed, no drinks offered. No veg meal for my wife, Empty bottle under the middle seat tray. Landed allegedly almost on time due to the excessive time scheduled for the leg.",0.117,0.883,0.0,-0.6369,negative,-0.1142857142857143,0.35000000000000003,negative,0.052773281931877136,0.0033750925213098526,0.0006058777798898518,0.8029605150222778,0.1393641084432602,0.0009211686556227505,anger,negative
British Airways are not interested in providing normal business class comforts and cuisine or even lounges on some routes. The Cancun route and the Nassau routes I have flown recently show this clearly as they are presumably are not bothered with little or no competition at all. This saddens me that they have made a clear decision that on holiday type routes they will provide the absolute minimum on everything. One example that shows how pathetic it has become with cutbacks out of many problems I encountered on these routes is that the food was so awful on the Cancun flight recently that we merely asked for cheese and biscuits in business class to be told that we could only have one packet of two biscuits each as BA only allocated one packet per person. The staff all agree that this was pathetic! No lounges at both these airports either and queuing of business class and economy all together no attempt to really show you paid extra for your ticket.,0.133,0.786,0.081,-0.8814,negative,-0.1423611111111111,0.562037037037037,negative,0.996661901473999,0.00031873045372776687,0.00020701100584119558,0.0024629654362797737,0.00016253997455351055,0.00018695947073865682,sadness,negative
